action_verb_count,bullet_count,category_alcohol,category_checks,category_diet,category_exercise,category_follow-up,category_sleep,category_smoking,category_stress,distillation_id,explanation_connector_count,feature_Activity,feature_Alcohol,feature_BMI,feature_Blood Glucose,feature_Blood Pressure,feature_Cholesterol,feature_Diet,feature_Mental Health,feature_Predicted Body Age,feature_Sleep,feature_Smoking,feature_Stress,feature_evidence_count,forbidden_term_count,key_signal_coverage,medical_disclaimer_present,numeric_evidence_count,person_index,quality_score,recommendation_category_count,required_heading_count,required_heading_coverage,response_source,word_count
6,14,1,1,1,1,1,1,1,1,51,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,24,51,80.48571428571428,8,5,1.0,Local rule-based fallback,227
13,26,1,1,1,1,1,1,1,1,52,1,1,1,1,1,1,1,1,0,0,1,1,1,10,0,1.0,0,19,52,87.0,8,5,1.0,Qwen teacher distillation,397
6,14,1,1,1,1,1,1,1,1,52,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,52,80.57142857142857,8,5,1.0,Local rule-based fallback,230
13,29,1,1,1,1,1,1,1,1,53,3,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,0,15,53,91.0,8,5,1.0,Qwen teacher distillation,356
6,15,1,1,1,1,1,1,1,1,53,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,53,80.68571428571428,8,5,1.0,Local rule-based fallback,234
15,20,1,1,1,1,1,1,1,1,54,4,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,0,13,54,93.0,8,5,1.0,Qwen teacher distillation,352
6,15,1,1,1,1,1,1,1,1,54,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,26,54,80.74285714285715,8,5,1.0,Local rule-based fallback,236
11,30,1,1,1,1,1,1,1,1,55,5,1,1,1,0,1,1,1,1,0,1,1,1,10,0,1.0,0,21,55,93.33333333333333,8,5,1.0,Qwen teacher distillation,414
6,13,1,1,1,1,1,1,1,1,55,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,23,55,80.28571428571429,8,5,1.0,Local rule-based fallback,220
16,29,1,1,1,1,1,1,1,1,56,5,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,0,16,56,95.0,8,5,1.0,Qwen teacher distillation,435
6,15,1,1,1,1,1,1,1,1,56,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,26,56,80.68571428571428,8,5,1.0,Local rule-based fallback,234
